akcijskousmerjevalnega | AKCIJSKOUSMERJEVALEN - [pravopis]
dekonstitucionalizacij | DEKONSTITUCIONALIZACIJA - [prav.] odprava ali ukinitev ustavne določbe ali njen prenos v nižji pravni akt, npr. zakon
dematerializiranostima | DEMATERIALIZIRANOST - lastnost, značilnost dematerializiranega
denacionaliziranostima | DENACIONALIZIRANOST - [pravopis]
dendrogeomorfologijama | DENDROGEOMORFOLOGIJA - [geol.] določanje reliefa in geomorfoloških procesov na podlagi letnega prirasta lesa
dendrogeomorfologijami | DENDROGEOMORFOLOGIJA - [geol.] določanje reliefa in geomorfoloških procesov na podlagi letnega prirasta lesa
deoksiribonukleinskega | DEOKSIRIBONUKLEINSKI - [esskj] 
deoksiribonukleinskemu | DEOKSIRIBONUKLEINSKI - [esskj] 
deoksiribonukleinskima | DEOKSIRIBONUKLEINSKI - [esskj] 
deoksiribonukleinskimi | DEOKSIRIBONUKLEINSKI - [esskj] 
deoksiribonukleotidoma | DEOKSIRIBONUKLEOTID - [farm.] deoksiribonukleozid, osnovni gradnik DNA, sestavljen iz deoksiriboze, na katero so na položaju 5' z estrsko vezjo vezane ena, dve ali tri fosfatne skupine
deoksiribonukleozidoma | DEOKSIRIBONUKLEOZID - [farm.]
deprofesionalizacijama | DEPROFESIONALIZACIJA - odstranitev, ukinitev profesionalizacije
deprofesionalizacijami | DEPROFESIONALIZACIJA - odstranitev, ukinitev profesionalizacije
deziluzionističnostima | DEZILUZIONISTIČNOST - [pravopis]
dezoksiribonukleinskem | DEZOKSIRIBONUKLEINSKI - nukleinska kislina, ki nosi zapis genske informacije v vseh živih bitjih
dezoksiribonukleinskih | DEZOKSIRIBONUKLEINSKI - nukleinska kislina, ki nosi zapis genske informacije v vseh živih bitjih
dezoksiribonukleinskim | DEZOKSIRIBONUKLEINSKI - nukleinska kislina, ki nosi zapis genske informacije v vseh živih bitjih
difenilpropilaminskega | DIFENILPROPILAMINSKI - [farm.] v zvezi »difenilpropilaminski derivati«: opioidni analgetiki z dvema fenilnima obročema na določeni razdalji od bazičnega dušika, ki se vežejo na opioidne receptorje v centralnem živčnem sistemu, npr. metadon
difenilpropilaminskemu | DIFENILPROPILAMINSKI - [farm.] v zvezi »difenilpropilaminski derivati«: opioidni analgetiki z dvema fenilnima obročema na določeni razdalji od bazičnega dušika, ki se vežejo na opioidne receptorje v centralnem živčnem sistemu, npr. metadon
difenilpropilaminskima | DIFENILPROPILAMINSKI - [farm.] v zvezi »difenilpropilaminski derivati«: opioidni analgetiki z dvema fenilnima obročema na določeni razdalji od bazičnega dušika, ki se vežejo na opioidne receptorje v centralnem živčnem sistemu, npr. metadon
difenilpropilaminskimi | DIFENILPROPILAMINSKI - [farm.] v zvezi »difenilpropilaminski derivati«: opioidni analgetiki z dvema fenilnima obročema na določeni razdalji od bazičnega dušika, ki se vežejo na opioidne receptorje v centralnem živčnem sistemu, npr. metadon
diklorofenoksiocetnega | DIKLOROFENOKSIOCETEN - > ARILOKSIOCETEN - [farm.] v zvezi »derivat ariloksiocetne kisline«: diuretik Henlejeve zanke, derivat diklorofenoksiocetne kisline, ki se navadno uporablja kot antihipertenziv, npr. etakrinska kislina
diklorofenoksiocetnemu | DIKLOROFENOKSIOCETEN - > ARILOKSIOCETEN - [farm.] v zvezi »derivat ariloksiocetne kisline«: diuretik Henlejeve zanke, derivat diklorofenoksiocetne kisline, ki se navadno uporablja kot antihipertenziv, npr. etakrinska kislina
diklorofenoksiocetnima | DIKLOROFENOKSIOCETEN - > ARILOKSIOCETEN - [farm.] v zvezi »derivat ariloksiocetne kisline«: diuretik Henlejeve zanke, derivat diklorofenoksiocetne kisline, ki se navadno uporablja kot antihipertenziv, npr. etakrinska kislina
diklorofenoksiocetnimi | DIKLOROFENOKSIOCETEN - > ARILOKSIOCETEN - [farm.] v zvezi »derivat ariloksiocetne kisline«: diuretik Henlejeve zanke, derivat diklorofenoksiocetne kisline, ki se navadno uporablja kot antihipertenziv, npr. etakrinska kislina
dimetilizoaloksazinoma | DIMETILIZOALOKSAZIN - > RIBOFLAVIN - [farm.] v vodi topen vitamin, sestavljen iz ribitola in dimetilizoaloksazina, ki se v organizmu pretvori v flavinmononukleotid in nato v flavin-adenin-dinukleotid, ki je kofaktor pri številnih redoks reakcijah, kjer pride do prenašanja hidridnih anionov in sodeluje pri rasti, antioksidantni zaščiti in metabolizmu številnih organskih molekul
dinamohidrometamorfoza | [geol.] metamorfoza, ki je posledica tektonskih procesov, zvišanega tlaka in vodnih raztopin
dinamohidrometamorfoze | DINAMOHIDROMETAMORFOZA - [geol.] metamorfoza, ki je posledica tektonskih procesov, zvišanega tlaka in vodnih raztopin
dinamohidrometamorfozi | DINAMOHIDROMETAMORFOZA - [geol.] metamorfoza, ki je posledica tektonskih procesov, zvišanega tlaka in vodnih raztopin
dinamohidrometamorfozo | DINAMOHIDROMETAMORFOZA - [geol.] metamorfoza, ki je posledica tektonskih procesov, zvišanega tlaka in vodnih raztopin
disproporcionalnostima | DISPROPORCIONALNOST - značilnost disproporcionalnega
disproporcioniranostih | DISPROPORCIONIRANOST - značilnost disproporcioniranega
disproporcioniranostim | DISPROPORCIONIRANOST - značilnost disproporcioniranega
disproporcioniranostjo | DISPROPORCIONIRANOST - značilnost disproporcioniranega
disproporcioniranostma | DISPROPORCIONIRANOST - značilnost disproporcioniranega
disproporcioniranostmi | DISPROPORCIONIRANOST - značilnost disproporcioniranega
distributivnostnostima | DISTRIBUTIVNOSTNOST - [pravopis]
drobnokapitalističnega | DROBNOKAPITALISTIČEN - nanašajoč se na drobne kapitaliste
drobnokapitalističnemu | DROBNOKAPITALISTIČEN - nanašajoč se na drobne kapitaliste
drobnokapitalističnima | DROBNOKAPITALISTIČEN - nanašajoč se na drobne kapitaliste
drobnokapitalističnimi | DROBNOKAPITALISTIČEN - nanašajoč se na drobne kapitaliste
drobnokapitalističnost | [pravopis]
drobnoposestniškostima | DROBNOPOSESTNIŠKOST - [pravopis]
drobnoproizvajalskosti | DROBNOPROIZVAJALSKOST - [pravopis]
družbenopolitičnostima | DRUŽBENOPOLITIČNOST - [pravopis]
družbenozgodovinskosti | DRUŽBENOZGODOVINSKOST - [pravopis]
družinskosorodstvenega | DRUŽINSKOSORODSTVEN - [pravopis]
družinskosorodstvenemu | DRUŽINSKOSORODSTVEN - [pravopis]
družinskosorodstvenima | DRUŽINSKOSORODSTVEN - [pravopis]
družinskosorodstvenimi | DRUŽINSKOSORODSTVEN - [pravopis]
državnoadministrativen | nanašajoč se na državno administracijo
državnoadministrativna | DRŽAVNOADMINISTRATIVEN - nanašajoč se na državno administracijo
državnoadministrativne | DRŽAVNOADMINISTRATIVEN - nanašajoč se na državno administracijo
državnoadministrativni | DRŽAVNOADMINISTRATIVEN - nanašajoč se na državno administracijo
državnoadministrativno | DRŽAVNOADMINISTRATIVEN - nanašajoč se na državno administracijo
državnokapitalističnem | DRŽAVNOKAPITALISTIČEN - nanašajoč se na državni kapitalizem
državnokapitalističnih | DRŽAVNOKAPITALISTIČEN - nanašajoč se na državni kapitalizem
državnokapitalističnim | DRŽAVNOKAPITALISTIČEN - nanašajoč se na državni kapitalizem
državnomonopolističnem | DRŽAVNOMONOPOLISTIČEN - nanašajoč se na državni monopol
državnomonopolističnih | DRŽAVNOMONOPOLISTIČEN - nanašajoč se na državni monopol
državnomonopolističnim | DRŽAVNOMONOPOLISTIČEN - nanašajoč se na državni monopol
državnosocialističnega | DRŽAVNOSOCIALISTIČEN - nanašajoč se na državni socializem
državnosocialističnemu | DRŽAVNOSOCIALISTIČEN - nanašajoč se na državni socializem
državnosocialističnima | DRŽAVNOSOCIALISTIČEN - nanašajoč se na državni socializem
državnosocialističnimi | DRŽAVNOSOCIALISTIČEN - nanašajoč se na državni socializem
dvanajsteroploskvenika | DVANAJSTEROPLOSKVENIK - [geol.] v zvezi »pentagonski dvanajsteroploskvenik«: kristalni lik v kubičnem kristalografskem sistemu z dvanajstimi simetričnimi peterokotnimi ploskvami
dvanajsteroploskvenike | DVANAJSTEROPLOSKVENIK - [geol.] v zvezi »pentagonski dvanajsteroploskvenik«: kristalni lik v kubičnem kristalografskem sistemu z dvanajstimi simetričnimi peterokotnimi ploskvami
dvanajsteroploskveniki | DVANAJSTEROPLOSKVENIK - [geol.] v zvezi »pentagonski dvanajsteroploskvenik«: kristalni lik v kubičnem kristalografskem sistemu z dvanajstimi simetričnimi peterokotnimi ploskvami
dvanajsteroploskveniku | DVANAJSTEROPLOSKVENIK - [geol.] v zvezi »pentagonski dvanajsteroploskvenik«: kristalni lik v kubičnem kristalografskem sistemu z dvanajstimi simetričnimi peterokotnimi ploskvami
dvanajsterostranostima | DVANAJSTEROSTRANOST - [pravopis]
eksemplifikativnostima | EKSEMPLIFIKATIVNOST - [pravopis]
ekshibicionističnostih | EKSHIBICIONISTIČNOST - [pravopis]
ekshibicionističnostim | EKSHIBICIONISTIČNOST - [pravopis]
ekshibicionističnostjo | EKSHIBICIONISTIČNOST - [pravopis]
ekshibicionističnostma | EKSHIBICIONISTIČNOST - [pravopis]
ekshibicionističnostmi | EKSHIBICIONISTIČNOST - [pravopis]
eksistencialističnosti | EKSISTENCIALISTIČNOST - [pravopis]
ekspanzionističnostima | EKSPANZIONISTIČNOST - [pravopis]
ekspresionističnostima | EKSPRESIONISTIČNOST - [pravopis]
ekstrateritorialnostih | EKSTRATERITORIALNOST - [prav.] v zvezi »načelo ekstrateritorialnosti«: načelo, po katerem je država zavezana z določeno pravno normo tudi pri ravnanju zunaj svojega ozemlja
ekstrateritorialnostim | EKSTRATERITORIALNOST - [prav.] v zvezi »načelo ekstrateritorialnosti«: načelo, po katerem je država zavezana z določeno pravno normo tudi pri ravnanju zunaj svojega ozemlja
ekstrateritorialnostjo | EKSTRATERITORIALNOST - [prav.] v zvezi »načelo ekstrateritorialnosti«: načelo, po katerem je država zavezana z določeno pravno normo tudi pri ravnanju zunaj svojega ozemlja
ekstrateritorialnostma | EKSTRATERITORIALNOST - [prav.] v zvezi »načelo ekstrateritorialnosti«: načelo, po katerem je država zavezana z določeno pravno normo tudi pri ravnanju zunaj svojega ozemlja
ekstrateritorialnostmi | EKSTRATERITORIALNOST - [prav.] v zvezi »načelo ekstrateritorialnosti«: načelo, po katerem je država zavezana z določeno pravno normo tudi pri ravnanju zunaj svojega ozemlja
ekvatorialnogvinejskem | EKVATORIALNOGVINEJSKI - [epravopis] 
ekvatorialnogvinejskih | EKVATORIALNOGVINEJSKI - [epravopis] 
ekvatorialnogvinejskim | EKVATORIALNOGVINEJSKI - [epravopis] 
elektrodistribucijskem | ELEKTRODISTRIBUCIJSKI - [gas.] v zvezi »elektrodistribucijska naprava«: oprema, ki se uporablja za distribucijo električne energije iz električnega omrežja do končnega uporabnika, npr. transformator, razdelilna omarica, stikalna postaja, kabli in vodniki
elektrodistribucijskih | ELEKTRODISTRIBUCIJSKI - [gas.] v zvezi »elektrodistribucijska naprava«: oprema, ki se uporablja za distribucijo električne energije iz električnega omrežja do končnega uporabnika, npr. transformator, razdelilna omarica, stikalna postaja, kabli in vodniki
