abalienacijskem | ABALIENACIJSKI
bratomorilskega | BRATOMORILSKI
bratomorilskemu | BRATOMORILSKI
bratomorilskima | BRATOMORILSKI
bratomorilskimi | BRATOMORILSKI
bratovščinarjem | BRATOVŠČINAR - član bratovščine, cerkvenega društva
bratovščinarjev | BRATOVŠČINAR - član bratovščine, cerkvenega društva
bratovščinarjih | BRATOVŠČINAR - član bratovščine, cerkvenega društva
bratovščinskega | BRATOVŠČINSKI - pridevnik od bratovščina 2
bratovščinskemu | BRATOVŠČINSKI - pridevnik od bratovščina 2
bratovščinskima | BRATOVŠČINSKI - pridevnik od bratovščina 2
bratovščinskimi | BRATOVŠČINSKI - pridevnik od bratovščina 2
bravuroznostima | BRAVUROZNOST
brazgotinastega | BRAZGOTINAST - ki ima brazgotine
brazgotinastemu | BRAZGOTINAST - ki ima brazgotine
brazgotinastima | BRAZGOTINAST - ki ima brazgotine
brazgotinastimi | BRAZGOTINAST - ki ima brazgotine
brazgotinjenjem | BRAZGOTINJENJE - proces nastanka brazgotine
brazgotinjenjih | BRAZGOTINJENJE - proces nastanka brazgotine
breakdancerjema | BREAKDANCER - kdor pleše breakdance
breakdancerskem | BREAKDANCERSKI - nanašajoč se na breakdance ali breakdancerje
breakdancerskih | BREAKDANCERSKI - nanašajoč se na breakdance ali breakdancerje
breakdancerskim | BREAKDANCERSKI - nanašajoč se na breakdance ali breakdancerje
brejkdenserjema | BREAKDANCER - kdor pleše breakdance
brejkdenserskem | BREAKDANCERSKI - nanašajoč se na breakdance ali breakdancerje
brejkdenserskih | BREAKDANCERSKI - nanašajoč se na breakdance ali breakdancerje
brejkdenserskim | BREAKDANCERSKI - nanašajoč se na breakdance ali breakdancerje
breskovolistnem | BRESKOVOLISTEN - enoletni njivski plevel z listi, podobnimi breskovim, Polygonum persicaria
breskovolistnih | BRESKOVOLISTEN - enoletni njivski plevel z listi, podobnimi breskovim, Polygonum persicaria
breskovolistnim | BRESKOVOLISTEN - enoletni njivski plevel z listi, podobnimi breskovim, Polygonum persicaria
brestlitovskega | BRESTLITOVSKI - mir, sklenjen leta 1918 med sovjetsko Rusijo in Nemčijo, Avstro-Ogrsko, Bolgarijo, Turčijo
brestlitovskemu | BRESTLITOVSKI - mir, sklenjen leta 1918 med sovjetsko Rusijo in Nemčijo, Avstro-Ogrsko, Bolgarijo, Turčijo
brestlitovskima | BRESTLITOVSKI - mir, sklenjen leta 1918 med sovjetsko Rusijo in Nemčijo, Avstro-Ogrsko, Bolgarijo, Turčijo
brestlitovskimi | BRESTLITOVSKI - mir, sklenjen leta 1918 med sovjetsko Rusijo in Nemčijo, Avstro-Ogrsko, Bolgarijo, Turčijo
brezalkoholnega | BREZALKOHOLEN - ki je brez alkohola
brezalkoholnemu | BREZALKOHOLEN - ki je brez alkohola
brezalkoholnima | BREZALKOHOLEN - ki je brez alkohola
brezalkoholnimi | BREZALKOHOLEN - ki je brez alkohola
brezbarvnostima | BREZBARVNOST - lastnost, značilnost brezbarvnega
brezbožništvoma | BREZBOŽNIŠTVO
brezbrambnostih | BREZBRAMBNOST - nemožnost obrambe
brezbrambnostim | BREZBRAMBNOST - nemožnost obrambe
brezbrambnostjo | BREZBRAMBNOST - nemožnost obrambe
brezbrambnostma | BREZBRAMBNOST - nemožnost obrambe
brezbrambnostmi | BREZBRAMBNOST - nemožnost obrambe
brezbrežnostima | BREZBREŽNOST - lastnost, značilnost brezbrežnega
brezbrižnejšega | BREZBRIŽEN - ki je brez zanimanja, ravnodušen
brezbrižnejšemu | BREZBRIŽEN - ki je brez zanimanja, ravnodušen
brezbrižnejšima | BREZBRIŽEN - ki je brez zanimanja, ravnodušen
brezbrižnejšimi | BREZBRIŽEN - ki je brez zanimanja, ravnodušen
brezbrižnostima | BREZBRIŽNOST
brezcestninskem | BREZCESTNINSKI - ki je brez plačila cestnine
brezcestninskih | BREZCESTNINSKI - ki je brez plačila cestnine
brezcestninskim | BREZCESTNINSKI - ki je brez plačila cestnine
brezciljnostima | BREZCILJNOST - stanje brez cilja, namena
brezčasovnostih | BREZČASOVNOST
brezčasovnostim | BREZČASOVNOST
brezčasovnostjo | BREZČASOVNOST
brezčasovnostma | BREZČASOVNOST
brezčasovnostmi | BREZČASOVNOST
brezčastnostima | BREZČASTNOST - lastnost, značilnost brezčastnega človeka
brezčustvenosti | BREZČUSTVENOST - lastnost brezčustvenega človeka
brezdomovincema | BREZDOMOVINEC - človek brez domovine, državljanstva
brezdomovinskem | BREZDOMOVINSKI - ki je brez domovine
brezdomovinskih | BREZDOMOVINSKI - ki je brez domovine
brezdomovinskim | BREZDOMOVINSKI - ki je brez domovine
brezdomovinstev | BREZDOMOVINSTVO - stanje človeka brez domovine
brezdomovinstva | BREZDOMOVINSTVO - stanje človeka brez domovine
brezdomovinstvi | BREZDOMOVINSTVO - stanje človeka brez domovine
brezdomovinstvo | stanje človeka brez domovine
brezdomovinstvu | BREZDOMOVINSTVO - stanje človeka brez domovine
brezdržavnostih | BREZDRŽAVNOST - brezdržavno stanje
brezdržavnostim | BREZDRŽAVNOST - brezdržavno stanje
brezdržavnostjo | BREZDRŽAVNOST - brezdržavno stanje
brezdržavnostma | BREZDRŽAVNOST - brezdržavno stanje
brezdržavnostmi | BREZDRŽAVNOST - brezdržavno stanje
brezglasnostima | BREZGLASNOST - značilnost brezglasnega
brezglutenskega | BREZGLUTENSKI - ki ne vsebuje glutena
brezglutenskemu | BREZGLUTENSKI - ki ne vsebuje glutena
brezglutenskima | BREZGLUTENSKI - ki ne vsebuje glutena
brezglutenskimi | BREZGLUTENSKI - ki ne vsebuje glutena
brezgotovinskem | BREZGOTOVINSKI - ki se opravi brez uporabe gotovine
brezgotovinskih | BREZGOTOVINSKI - ki se opravi brez uporabe gotovine
brezgotovinskim | BREZGOTOVINSKI - ki se opravi brez uporabe gotovine
brezgrajnostima | BREZGRAJNOST - stanje brezgrajnega človeka
brezgrešnostima | BREZGREŠNOST - stanje brezgrešnega človeka
brezidejnostima | BREZIDEJNOST - značilnost brezidejnega
brezizglednosti | BREZIZGLEDNOST
brezizhodnostih | BREZIZHODNOST - brezizhodno stanje
brezizhodnostim | BREZIZHODNOST - brezizhodno stanje
brezizhodnostjo | BREZIZHODNOST - brezizhodno stanje
brezizhodnostma | BREZIZHODNOST - brezizhodno stanje
brezizhodnostmi | BREZIZHODNOST - brezizhodno stanje
brezizraznostih | BREZIZRAZNOST - lastnost brezizraznega
brezizraznostim | BREZIZRAZNOST - lastnost brezizraznega
brezizraznostjo | BREZIZRAZNOST - lastnost brezizraznega
brezizraznostma | BREZIZRAZNOST - lastnost brezizraznega
brezizraznostmi | BREZIZRAZNOST - lastnost brezizraznega
brezkofeinskega | BREZKOFEINSKI - ki je brez kofeina
brezkofeinskemu | BREZKOFEINSKI - ki je brez kofeina
brezkofeinskima | BREZKOFEINSKI - ki je brez kofeina
brezkofeinskimi | BREZKOFEINSKI - ki je brez kofeina
brezkompromisen | ki dela, ravna brez kompromisa
brezkompromisna | BREZKOMPROMISEN - ki dela, ravna brez kompromisa
brezkompromisne | BREZKOMPROMISEN - ki dela, ravna brez kompromisa
brezkompromisni | BREZKOMPROMISEN - ki dela, ravna brez kompromisa
brezkompromisno | BREZKOMPROMISEN - ki dela, ravna brez kompromisa
brezkončniškega | BREZKONČNIŠKI - ki je brez končnice
brezkončniškemu | BREZKONČNIŠKI - ki je brez končnice
brezkončniškima | BREZKONČNIŠKI - ki je brez končnice
brezkončniškimi | BREZKONČNIŠKI - ki je brez končnice
brezkončnostima | BREZKONČNOST - značilnost, lastnost brezkončnega
brezkonkurenčen | ki je brez konkurence
brezkonkurenčna | BREZKONKURENČEN - ki je brez konkurence
brezkonkurenčne | BREZKONKURENČEN - ki je brez konkurence
brezkonkurenčni | BREZKONKURENČEN - ki je brez konkurence
brezkonkurenčno | BREZKONKURENČEN - ki je brez konkurence
brezkontaktnega | BREZKONTAKTEN - ki za svoje delovanje ne potrebuje neposrednega stika
brezkontaktnemu | BREZKONTAKTEN - ki za svoje delovanje ne potrebuje neposrednega stika
brezkontaktnima | BREZKONTAKTEN - ki za svoje delovanje ne potrebuje neposrednega stika
brezkontaktnimi | BREZKONTAKTEN - ki za svoje delovanje ne potrebuje neposrednega stika
brezkoristnosti | BREZKORISTNOST - lastnost brezkoristnega
brezkrajnostima | BREZKRAJNOST - lastnost, značilnost brezkrajnega
brezlastniškega | BREZLASTNIŠKI - ki je brez zasebne lastnine
brezlastniškemu | BREZLASTNIŠKI - ki je brez zasebne lastnine
brezlastniškima | BREZLASTNIŠKI - ki je brez zasebne lastnine
brezlastniškimi | BREZLASTNIŠKI - ki je brez zasebne lastnine
brezmadežnostih | BREZMADEŽNOST - lastnost, značilnost brezmadežnega
brezmadežnostim | BREZMADEŽNOST - lastnost, značilnost brezmadežnega
brezmadežnostjo | BREZMADEŽNOST - lastnost, značilnost brezmadežnega
brezmadežnostma | BREZMADEŽNOST - lastnost, značilnost brezmadežnega
brezmadežnostmi | BREZMADEŽNOST - lastnost, značilnost brezmadežnega
brezmatičarjema | BREZMATIČAR - [čeb.] družina v panju, ki je izgubila matico
brezmatičnikoma | BREZMATIČNIK - panj brez matice
brezmatičnostih | BREZMATIČNOST - [čeb.] stanje družine, ki je izgubila matico
brezmatičnostim | BREZMATIČNOST - [čeb.] stanje družine, ki je izgubila matico
brezmatičnostjo | BREZMATIČNOST - [čeb.] stanje družine, ki je izgubila matico
brezmatičnostma | BREZMATIČNOST - [čeb.] stanje družine, ki je izgubila matico
brezmatičnostmi | BREZMATIČNOST - [čeb.] stanje družine, ki je izgubila matico
brezmiselnostih | BREZMISELNOST - lastnost, značilnost brezmiselnega
brezmiselnostim | BREZMISELNOST - lastnost, značilnost brezmiselnega
brezmiselnostjo | BREZMISELNOST - lastnost, značilnost brezmiselnega
brezmiselnostma | BREZMISELNOST - lastnost, značilnost brezmiselnega
brezmiselnostmi | BREZMISELNOST - lastnost, značilnost brezmiselnega
brezmlečnostima | BREZMLEČNOST - manjkanje mleka po porodu
breznačelnežema | BREZNAČELNEŽ - breznačelen človek
breznačelnostih | BREZNAČELNOST - stanje brez načel
breznačelnostim | BREZNAČELNOST - stanje brez načel
breznačelnostjo | BREZNAČELNOST - stanje brez načel
breznačelnostma | BREZNAČELNOST - stanje brez načel
breznačelnostmi | BREZNAČELNOST - stanje brez načel
breznačrtnostih | BREZNAČRTNOST - značilnost breznačrtnega
breznačrtnostim | BREZNAČRTNOST - značilnost breznačrtnega
breznačrtnostjo | BREZNAČRTNOST - značilnost breznačrtnega
breznačrtnostma | BREZNAČRTNOST - značilnost breznačrtnega
breznačrtnostmi | BREZNAČRTNOST - značilnost breznačrtnega
breznadejnostih | BREZNADEJNOST
breznadejnostim | BREZNADEJNOST
breznadejnostjo | BREZNADEJNOST
breznadejnostma | BREZNADEJNOST
breznadejnostmi | BREZNADEJNOST
breznaglasnicah | BREZNAGLASNICA - beseda, ki je brez naglasa
breznaglasnicam | BREZNAGLASNICA - beseda, ki je brez naglasa
breznaglasnosti | BREZNAGLASNOST - značilnost breznaglasne besede
breznarodnostih | BREZNARODNOST - breznarodno stanje
breznarodnostim | BREZNARODNOST - breznarodno stanje
breznarodnostjo | BREZNARODNOST - breznarodno stanje
breznarodnostma | BREZNARODNOST - breznarodno stanje
breznarodnostmi | BREZNARODNOST - breznarodno stanje
brezobličnostih | BREZOBLIČNOST - lastnost, značilnost brezobličnega
brezobličnostim | BREZOBLIČNOST - lastnost, značilnost brezobličnega
brezobličnostjo | BREZOBLIČNOST - lastnost, značilnost brezobličnega
brezobličnostma | BREZOBLIČNOST - lastnost, značilnost brezobličnega
brezobličnostmi | BREZOBLIČNOST - lastnost, značilnost brezobličnega
brezobraznostih | BREZOBRAZNOST
brezobraznostim | BREZOBRAZNOST
brezobraznostjo | BREZOBRAZNOST
brezobraznostma | BREZOBRAZNOST
brezobraznostmi | BREZOBRAZNOST
brezobstretnega | BREZOBSTRETEN - ki preprečuje odboj svetlobnih žarkov s hrbtne strani plošče, filma nazaj v emulzijo
brezobstretnemu | BREZOBSTRETEN - ki preprečuje odboj svetlobnih žarkov s hrbtne strani plošče, filma nazaj v emulzijo
brezobstretnima | BREZOBSTRETEN - ki preprečuje odboj svetlobnih žarkov s hrbtne strani plošče, filma nazaj v emulzijo
brezobstretnimi | BREZOBSTRETEN - ki preprečuje odboj svetlobnih žarkov s hrbtne strani plošče, filma nazaj v emulzijo
brezobzirnežema | BREZOBZIRNEŽ - brezobziren človek
brezobzirnostih | BREZOBZIRNOST - lastnost brezobzirnega človeka
brezobzirnostim | BREZOBZIRNOST - lastnost brezobzirnega človeka
brezobzirnostjo | BREZOBZIRNOST - lastnost brezobzirnega človeka
brezobzirnostma | BREZOBZIRNOST - lastnost brezobzirnega človeka
brezobzirnostmi | BREZOBZIRNOST - lastnost brezobzirnega človeka
brezodzivnostih | BREZODZIVNOST - odsotnost, pomanjkanje odziva
brezodzivnostim | BREZODZIVNOST - odsotnost, pomanjkanje odziva
brezodzivnostjo | BREZODZIVNOST - odsotnost, pomanjkanje odziva
brezodzivnostma | BREZODZIVNOST - odsotnost, pomanjkanje odziva
brezodzivnostmi | BREZODZIVNOST - odsotnost, pomanjkanje odziva
brezokusnostima | BREZOKUSNOST - značilnost brezokusnega
brezosebnostima | BREZOSEBNOST - značilnost brezosebnega
brezpartijskega | BREZPARTIJSKI - ki je brez partijskega vodstva
brezpartijskemu | BREZPARTIJSKI - ki je brez partijskega vodstva
brezpartijskima | BREZPARTIJSKI - ki je brez partijskega vodstva
brezpartijskimi | BREZPARTIJSKI - ki je brez partijskega vodstva
brezpetelinkama | BREZPETELINKA - puška, ki ima za vžig naboja udarno iglo namesto petelina
brezpetelinkami | BREZPETELINKA - puška, ki ima za vžig naboja udarno iglo namesto petelina
brezplačnostima | BREZPLAČNOST - značilnost brezplačnega
brezplodnostima | BREZPLODNOST - značilnost brezplodnega
brezpogojnostih | BREZPOGOJNOST - lastnost, značilnost brezpogojnega
brezpogojnostim | BREZPOGOJNOST - lastnost, značilnost brezpogojnega
brezpogojnostjo | BREZPOGOJNOST - lastnost, značilnost brezpogojnega
brezpogojnostma | BREZPOGOJNOST - lastnost, značilnost brezpogojnega
brezpogojnostmi | BREZPOGOJNOST - lastnost, značilnost brezpogojnega
brezpokojnostih | BREZPOKOJNOST - stanje brez pokoja, miru
brezpokojnostim | BREZPOKOJNOST - stanje brez pokoja, miru
brezpokojnostjo | BREZPOKOJNOST - stanje brez pokoja, miru
brezpokojnostma | BREZPOKOJNOST - stanje brez pokoja, miru
brezpokojnostmi | BREZPOKOJNOST - stanje brez pokoja, miru
brezpomembnosti | BREZPOMEMBNOST - lastnost, značilnost brezpomembnega
brezpomočnostih | BREZPOMOČNOST - nemožnost, nesposobnost pomagati si
brezpomočnostim | BREZPOMOČNOST - nemožnost, nesposobnost pomagati si
brezpomočnostjo | BREZPOMOČNOST - nemožnost, nesposobnost pomagati si
brezpomočnostma | BREZPOMOČNOST - nemožnost, nesposobnost pomagati si
brezpomočnostmi | BREZPOMOČNOST - nemožnost, nesposobnost pomagati si
brezposelnežema | BREZPOSELNEŽ - brezposeln človek, brezposelni
brezposelnikoma | BREZPOSELNIK - brezposeln človek, brezposelni
brezposelnostih | BREZPOSELNOST - pojav, stanje, da je del ljudi brez stalnega dela, zaposlitve
brezposelnostim | BREZPOSELNOST - pojav, stanje, da je del ljudi brez stalnega dela, zaposlitve
brezposelnostjo | BREZPOSELNOST - pojav, stanje, da je del ljudi brez stalnega dela, zaposlitve
brezposelnostma | BREZPOSELNOST - pojav, stanje, da je del ljudi brez stalnega dela, zaposlitve
brezposelnostmi | BREZPOSELNOST - pojav, stanje, da je del ljudi brez stalnega dela, zaposlitve
brezpravnostima | BREZPRAVNOST - brezpravno stanje
brezpredmetnega | BREZPREDMETEN - ki je brez vzroka, podlage, neosnovan
brezpredmetnemu | BREZPREDMETEN - ki je brez vzroka, podlage, neosnovan
brezpredmetnima | BREZPREDMETEN - ki je brez vzroka, podlage, neosnovan
brezpredmetnimi | BREZPREDMETEN - ki je brez vzroka, podlage, neosnovan
brezpredmetnost | lastnost, značilnost brezpredmetnega
brezpriponskega | BREZPRIPONSKI - ki je brez pripone
brezpriponskemu | BREZPRIPONSKI - ki je brez pripone
brezpriponskima | BREZPRIPONSKI - ki je brez pripone
brezpriponskimi | BREZPRIPONSKI - ki je brez pripone
brezprogramnost | stanje brez programa, načrta
brezprostorjema | BREZPROSTORJE - prostorska neomejenost, neskončnost
brezprostornega | BREZPROSTOREN - prostorsko neomejen
brezprostornemu | BREZPROSTOREN - prostorsko neomejen
brezprostornima | BREZPROSTOREN - prostorsko neomejen
brezprostornimi | BREZPROSTOREN - prostorsko neomejen
brezprostornost | prostorska neomejenost, neskončnost
brezrazrednosti | BREZRAZREDNOST - lastnost, značilnost brezrazrednega
brezrokavnikoma | BREZROKAVNIK - jopica ali pulover brez rokavov
brezsenčnostima | BREZSENČNOST - značilnost brezsenčnega kraja, prostora
brezsistemnosti | BREZSISTEMNOST - stanje brez sistema
brezskrbnejšega | BREZSKRBEN - ki je brez skrbi
brezskrbnejšemu | BREZSKRBEN - ki je brez skrbi
brezskrbnejšima | BREZSKRBEN - ki je brez skrbi
brezskrbnejšimi | BREZSKRBEN - ki je brez skrbi
brezskrbnostima | BREZSKRBNOST - lastnost brezskrbnega človeka
brezskrupulozen | brezobziren, brezvesten
brezskrupulozna | BREZSKRUPULOZEN - brezobziren, brezvesten
brezskrupulozne | BREZSKRUPULOZEN - brezobziren, brezvesten
brezskrupulozni | BREZSKRUPULOZEN - brezobziren, brezvesten
brezskrupulozno | BREZSKRUPULOZEN - brezobziren, brezvesten
brezsmernostima | BREZSMERNOST - kar je brez smeri, cilja
brezsmiselnosti | BREZSMISELNOST - lastnost, značilnost brezsmiselnega
brezsmotrnostih | BREZSMOTRNOST
brezsmotrnostim | BREZSMOTRNOST
brezsmotrnostjo | BREZSMOTRNOST
brezsmotrnostma | BREZSMOTRNOST
brezsmotrnostmi | BREZSMOTRNOST
brezsnovnostima | BREZSNOVNOST - lastnost brezsnovnega
brezspolnostima | BREZSPOLNOST - značilnost brezspolnega
brezsrajčnikoma | BREZSRAJČNIK - kdor hodi brez srajce
brezsramnostima | BREZSRAMNOST - lastnost brezsramnega človeka
brezstidnostima | BREZSTIDNOST
brezstilnostima | BREZSTILNOST - lastnost, značilnost brezstilnega
brezstrankarska | BREZSTRANKARSKI - ki je brez političnih strank
brezstrankarske | BREZSTRANKARSKI - ki je brez političnih strank
brezstrankarski | ki je brez političnih strank
brezstrankarsko | BREZSTRANKARSKI - ki je brez političnih strank
brezstrastnosti | BREZSTRASTNOST - lastnost brezstrastnega človeka
brezštevilnosti | BREZŠTEVILNOST - značilnost brezštevilnega
breztaktnostima | BREZTAKTNOST - lastnost breztaktnega človeka
breztelesnostih | BREZTELESNOST - značilnost breztelesnega
breztelesnostim | BREZTELESNOST - značilnost breztelesnega
breztelesnostjo | BREZTELESNOST - značilnost breztelesnega
breztelesnostma | BREZTELESNOST - značilnost breztelesnega
breztelesnostmi | BREZTELESNOST - značilnost breztelesnega
breztendenčnega | BREZTENDENČEN - ki je brez tendence
breztendenčnemu | BREZTENDENČEN - ki je brez tendence
breztendenčnima | BREZTENDENČEN - ki je brez tendence
breztendenčnimi | BREZTENDENČEN - ki je brez tendence
breztežnostnega | BREZTEŽNOSTEN - na katerega navidezno ne deluje težnost
breztežnostnemu | BREZTEŽNOSTEN - na katerega navidezno ne deluje težnost
breztežnostnima | BREZTEŽNOSTEN - na katerega navidezno ne deluje težnost
breztežnostnimi | BREZTEŽNOSTEN - na katerega navidezno ne deluje težnost
brezuspešnostih | BREZUSPEŠNOST - značilnost brezuspešnega
brezuspešnostim | BREZUSPEŠNOST - značilnost brezuspešnega
brezuspešnostjo | BREZUSPEŠNOST - značilnost brezuspešnega
brezuspešnostma | BREZUSPEŠNOST - značilnost brezuspešnega
brezuspešnostmi | BREZUSPEŠNOST - značilnost brezuspešnega
brezustavnostih | BREZUSTAVNOST - brezustavno stanje
brezustavnostim | BREZUSTAVNOST - brezustavno stanje
brezustavnostjo | BREZUSTAVNOST - brezustavno stanje
brezustavnostma | BREZUSTAVNOST - brezustavno stanje
brezustavnostmi | BREZUSTAVNOST - brezustavno stanje
brezvestnejšega | BREZVESTEN - ki je brez vesti
brezvestnejšemu | BREZVESTEN - ki je brez vesti
brezvestnejšima | BREZVESTEN - ki je brez vesti
brezvestnejšimi | BREZVESTEN - ki je brez vesti
brezvestnostima | BREZVESTNOST - lastnost brezvestnega človeka
brezvetrnostima | BREZVETRNOST
brezvoljnostima | BREZVOLJNOST - stanje brez volje, hotenja
brezvretenčarja | BREZVRETENČAR - žival, ki nima vretenčaste hrbtenice
brezvretenčarje | BREZVRETENČAR - žival, ki nima vretenčaste hrbtenice
brezvretenčarji | BREZVRETENČAR - žival, ki nima vretenčaste hrbtenice
brezvretenčarju | BREZVRETENČAR - žival, ki nima vretenčaste hrbtenice
brezvsebinskega | BREZVSEBINSKI - ki je brez (dobre) vsebine
brezvsebinskemu | BREZVSEBINSKI - ki je brez (dobre) vsebine
brezvsebinskima | BREZVSEBINSKI - ki je brez (dobre) vsebine
brezvsebinskimi | BREZVSEBINSKI - ki je brez (dobre) vsebine
brezvsebinskost | značilnost brezvsebinskega
brezvzročnostih | BREZVZROČNOST - značilnost brezvzročnega
brezvzročnostim | BREZVZROČNOST - značilnost brezvzročnega
brezvzročnostjo | BREZVZROČNOST - značilnost brezvzročnega
brezvzročnostma | BREZVZROČNOST - značilnost brezvzročnega
brezvzročnostmi | BREZVZROČNOST - značilnost brezvzročnega
brezzakonitosti | BREZZAKONITOST - stanje brez zakonov, postav
brezzgodovinska | BREZZGODOVINSKI - ki je brez (pomembne) zgodovine
brezzgodovinske | BREZZGODOVINSKI - ki je brez (pomembne) zgodovine
brezzgodovinski | ki je brez (pomembne) zgodovine
brezzgodovinsko | BREZZGODOVINSKI - ki je brez (pomembne) zgodovine
brezznačajnežem | BREZZNAČAJNEŽ - brezznačajen človek
brezznačajnežev | BREZZNAČAJNEŽ - brezznačajen človek
brezznačajnežih | BREZZNAČAJNEŽ - brezznačajen človek
brezznačajnosti | BREZZNAČAJNOST - lastnost brezznačajnega človeka
brezzračnostima | BREZZRAČNOST - značilnost brezzračnega
brezzvezdnatega | BREZZVEZDNAT
brezzvezdnatemu | BREZZVEZDNAT
brezzvezdnatima | BREZZVEZDNAT
brezzvezdnatimi | BREZZVEZDNAT
brezzveznostima | BREZZVEZNOST - lastnost, značilnost brezzveznega
brezželjnostima | BREZŽELJNOST - stanje brez želja
brezživljenjska | BREZŽIVLJENJSKI - ki je brez življenjske energije
brezživljenjske | BREZŽIVLJENJSKI - ki je brez življenjske energije
brezživljenjski | ki je brez življenjske energije
brezživljenjsko | BREZŽIVLJENJSKI - ki je brez življenjske energije
briljantnejšega | BRILJANTEN - nanašajoč se na briljant
briljantnejšemu | BRILJANTEN - nanašajoč se na briljant
briljantnejšima | BRILJANTEN - nanašajoč se na briljant
briljantnejšimi | BRILJANTEN - nanašajoč se na briljant
briljantnostima | BRILJANTNOST - lastnost, značilnost briljantnega 2
bromovodikovega | BROMOVODIKOV - raztopina vodikovega bromida
bromovodikovemu | BROMOVODIKOV - raztopina vodikovega bromida
bromovodikovima | BROMOVODIKOV - raztopina vodikovega bromida
bromovodikovimi | BROMOVODIKOV - raztopina vodikovega bromida
bronastopoltega | BRONASTOPOLT - ki ima bronasto polt
bronastopoltemu | BRONASTOPOLT - ki ima bronasto polt
bronastopoltima | BRONASTOPOLT - ki ima bronasto polt
bronastopoltimi | BRONASTOPOLT - ki ima bronasto polt
bronhiektazijah | BRONHIEKTAZIJA - bolezensko razširjen bronhij
bronhiektazijam | BRONHIEKTAZIJA - bolezensko razširjen bronhij
bronhodilatator | [farm.] učinkovina, ki sprošča gladke mišice v steni dihalne cevi in zato olajšuje izmenjavo plinov med pljuči in okolico
bronhografijama | BRONHOGRAFIJA - rentgensko slikanje bronhijev
bronhografijami | BRONHOGRAFIJA - rentgensko slikanje bronhijev
bronhopnevmonij | BRONHOPNEVMONIJA - pljučnica z manjšimi vnetišči okrog bronhijev
bronhoskopijama | BRONHOSKOPIJA - neposredno opazovanje bronhijev
bronhoskopijami | BRONHOSKOPIJA - neposredno opazovanje bronhijev
brutoregistrska | BRUTOREGISTRSKI
brutoregistrske | BRUTOREGISTRSKI
brutoregistrski | 
brutoregistrsko | BRUTOREGISTRSKI
brzojavljanjema | BRZOJAVLJANJE - glagolnik od brzojavljati
brzokuhalnikoma | BRZOKUHALNIK - električni kuhalnik za hitro kuhanje
brzoparilnikoma | BRZOPARILNIK - velik lonec ali kotel za hitro kuhanje ali parjenje
brzoturnirskega | BRZOTURNIRSKI - nanašajoč se na brzoturnir
brzoturnirskemu | BRZOTURNIRSKI - nanašajoč se na brzoturnir
brzoturnirskima | BRZOTURNIRSKI - nanašajoč se na brzoturnir
brzoturnirskimi | BRZOTURNIRSKI - nanašajoč se na brzoturnir
buddingtonitoma | BUDDINGTONIT - [gem.] 
bufadienolidoma | BUFADIENOLID - [farm.] 
buffokomedijama | BUFFOKOMEDIJA - [gled.] komedija, ki norčavo prikazuje tipične značaje nižjih družbenih slojev, vključuje tudi kritiko življenja
buffokomedijami | BUFFOKOMEDIJA - [gled.] komedija, ki norčavo prikazuje tipične značaje nižjih družbenih slojev, vključuje tudi kritiko življenja
buntsandsteinih | BUNTSANDSTEIN - [geol.] stopnja spodnjega triasa v germanskem razvoju
buntsandsteinom | BUNTSANDSTEIN - [geol.] stopnja spodnjega triasa v germanskem razvoju
buntsandsteinov | BUNTSANDSTEIN - [geol.] stopnja spodnjega triasa v germanskem razvoju
cankarjanstvoma | CANKARJANSTVO - idejne in umetniške značilnosti Cankarjevega ustvarjanja
cankarjeslovjem | CANKARJESLOVJE - raziskovanje življenja in dela Ivana Cankarja
cankarjeslovjih | CANKARJESLOVJE - raziskovanje življenja in dela Ivana Cankarja
cecilijanstvoma | CECILIJANSTVO - gibanje za reformo katoliške cerkvene glasbe v 19. stoletju
cefalosporinoma | CEFALOSPORINI - [farm.] β-laktamski antibiotiki, ki imajo kondenziran štiričlenski laktamski in šestčlenski tiazinski obroč, npr. cefaleksin, cefaklor
cefalotoraksoma | CEFALOTORAKS - [geol.] združena glava in oprsje pri artropodih
celoploskvenika | CELOPLOSKVENIK - [geol.] kristalni lik, ki ima razvite vse možne ploskve v svoji vrsti simetrije, npr. pinakoid
celoploskvenike | CELOPLOSKVENIK - [geol.] kristalni lik, ki ima razvite vse možne ploskve v svoji vrsti simetrije, npr. pinakoid
celoploskveniki | CELOPLOSKVENIK - [geol.] kristalni lik, ki ima razvite vse možne ploskve v svoji vrsti simetrije, npr. pinakoid
celoploskveniku | CELOPLOSKVENIK - [geol.] kristalni lik, ki ima razvite vse možne ploskve v svoji vrsti simetrije, npr. pinakoid
celoštevilčnega | CELOŠTEVILČEN - izražen s celimi števili
celoštevilčnemu | CELOŠTEVILČEN - izražen s celimi števili
celoštevilčnima | CELOŠTEVILČEN - izražen s celimi števili
celoštevilčnimi | CELOŠTEVILČEN - izražen s celimi števili
celoštevilskega | CELOŠTEVILSKI - izražen s celimi števili
celoštevilskemu | CELOŠTEVILSKI - izražen s celimi števili
celoštevilskima | CELOŠTEVILSKI - izražen s celimi števili
celoštevilskimi | CELOŠTEVILSKI - izražen s celimi števili
cementacijskega | CEMENTACIJSKI - pridevnik od cementacija
cementacijskemu | CEMENTACIJSKI - pridevnik od cementacija
cementacijskima | CEMENTACIJSKI - pridevnik od cementacija
cementacijskimi | CEMENTACIJSKI - pridevnik od cementacija
