abalienacijah | ABALIENACIJA
balneološkemu | BALNEOLOŠKI - nanašajoč se na balneologe ali balneologijo
balneološkima | BALNEOLOŠKI - nanašajoč se na balneologe ali balneologijo
balneološkimi | BALNEOLOŠKI - nanašajoč se na balneologe ali balneologijo
balneoterapij | BALNEOTERAPIJA - zdravljenje z zdravilnimi vodami ali zdravilnim blatom
balonarstvoma | BALONARSTVO - dejavnost, ki se ukvarja z letenjem z baloni
balustradnega | BALUSTRADEN - pridevnik od balustrada
balustradnemu | BALUSTRADEN - pridevnik od balustrada
balustradnima | BALUSTRADEN - pridevnik od balustrada
balustradnimi | BALUSTRADEN - pridevnik od balustrada
balvaniranjem | BALVANIRANJE - [plan.] prosto plezanje po  balvanih ali ob vznožju sten, navadno do višine okoli 10 m, brez varovanja, z varovanjem s tal z ročnim lovljenjem in s polaganjem blazin pod smer ali od zgoraj brez vmesnih varoval
balvaniranjih | BALVANIRANJE - [plan.] prosto plezanje po  balvanih ali ob vznožju sten, navadno do višine okoli 10 m, brez varovanja, z varovanjem s tal z ročnim lovljenjem in s polaganjem blazin pod smer ali od zgoraj brez vmesnih varoval
balzamarijema | BALZAMARIJ - posodica za shranjevanje dišav
balzamiranega | BALZAMIRATI - prepajati z balzamom ali podobnimi snovmi
balzamiranemu | BALZAMIRATI - prepajati z balzamom ali podobnimi snovmi
balzamiranima | BALZAMIRATI - prepajati z balzamom ali podobnimi snovmi
balzamiranimi | BALZAMIRATI - prepajati z balzamom ali podobnimi snovmi
balzamiranjem | BALZAMIRANJE - glagolnik od balzamirati
balzamiranjih | BALZAMIRANJE - glagolnik od balzamirati
bambusovinama | BAMBUSOVINA - bambusov les
bambusovinami | BAMBUSOVINA - bambusov les
banalizirajmo | BANALIZIRATI - narediti kaj pusto vsakdanje, plehko, nepomembno
banalizirajta | BANALIZIRATI - narediti kaj pusto vsakdanje, plehko, nepomembno
banalizirajte | BANALIZIRATI - narediti kaj pusto vsakdanje, plehko, nepomembno
banalizirajva | BANALIZIRATI - narediti kaj pusto vsakdanje, plehko, nepomembno
banaliziranem | BANALIZIRATI - narediti kaj pusto vsakdanje, plehko, nepomembno
banaliziranih | BANALIZIRATI - narediti kaj pusto vsakdanje, plehko, nepomembno
banaliziranim | BANALIZIRATI - narediti kaj pusto vsakdanje, plehko, nepomembno
banavzarskega | BANAVZARSKI
banavzarskemu | BANAVZARSKI
banavzarskima | BANAVZARSKI
banavzarskimi | BANAVZARSKI
banavzarstvih | BANAVZARSTVO
banavzarstvom | BANAVZARSTVO
banderileroma | BANDERILJERO - bikoborec, oborožen z banderiljo
banderiljerih | BANDERILJERO - bikoborec, oborožen z banderiljo
banderiljerom | BANDERILJERO - bikoborec, oborožen z banderiljo
banderiljerov | BANDERILJERO - bikoborec, oborožen z banderiljo
bandoneonista | BANDONEONIST - kdor igra (na) bandoneon
bandoneoniste | BANDONEONIST - kdor igra (na) bandoneon
bandoneonisti | BANDONEONIST - kdor igra (na) bandoneon
bandoneonistu | BANDONEONIST - kdor igra (na) bandoneon
bankokracijah | BANKOKRACIJA - odločilen vpliv bank v narodnem gospodarstvu
bankokracijam | BANKOKRACIJA - odločilen vpliv bank v narodnem gospodarstvu
bankomatskega | BANKOMATSKI - nanašajoč se na bankomat
bankomatskemu | BANKOMATSKI - nanašajoč se na bankomat
bankomatskima | BANKOMATSKI - nanašajoč se na bankomat
bankomatskimi | BANKOMATSKI - nanašajoč se na bankomat
bankroterjema | BANKROTER - kdor bankrotira
bankrotirajmo | BANKROTIRATI - doživeti bankrot, gospodarsko propasti
bankrotirajta | BANKROTIRATI - doživeti bankrot, gospodarsko propasti
bankrotirajte | BANKROTIRATI - doživeti bankrot, gospodarsko propasti
bankrotirajva | BANKROTIRATI - doživeti bankrot, gospodarsko propasti
bankrotiranca | BANKROTIRANEC - kdor bankrotira
bankrotirance | BANKROTIRANEC - kdor bankrotira
bankrotiranci | BANKROTIRANEC - kdor bankrotira
bankrotirancu | BANKROTIRANEC - kdor bankrotira
bankrotiranec | kdor bankrotira
bankrotiranem | BANKROTIRATI - doživeti bankrot, gospodarsko propasti
bankrotiranih | BANKROTIRATI - doživeti bankrot, gospodarsko propasti
bankrotiranim | BANKROTIRATI - doživeti bankrot, gospodarsko propasti
bankrotnikoma | BANKROTNIK
bankrotnostih | BANKROTNOST - bankrotno stanje
bankrotnostim | BANKROTNOST - bankrotno stanje
bankrotnostjo | BANKROTNOST - bankrotno stanje
bankrotnostma | BANKROTNOST - bankrotno stanje
bankrotnostmi | BANKROTNOST - bankrotno stanje
bankrotstvoma | BANKROTSTVO - gospodarsko propadanje
baptisterijem | BAPTISTERIJ - prostor ali stavba za krščevanje
baptisterijev | BAPTISTERIJ - prostor ali stavba za krščevanje
baptisterijih | BAPTISTERIJ - prostor ali stavba za krščevanje
baptističnega | BAPTISTIČEN - nanašajoč se na baptiste
baptističnemu | BAPTISTIČEN - nanašajoč se na baptiste
baptističnima | BAPTISTIČEN - nanašajoč se na baptiste
baptističnimi | BAPTISTIČEN - nanašajoč se na baptiste
baptistinjama | BAPTISTINJA - pripadnica protestantske verske skupnosti, ki zahteva krst odraslih
baptistinjami | BAPTISTINJA - pripadnica protestantske verske skupnosti, ki zahteva krst odraslih
baptistovskem | BAPTISTOVSKI
baptistovskih | BAPTISTOVSKI
baptistovskim | BAPTISTOVSKI
barabinstvoma | BARABINSTVO
barbarizacija | uvajanje barbarskih razmer
barbarizacije | BARBARIZACIJA - uvajanje barbarskih razmer
barbarizaciji | BARBARIZACIJA - uvajanje barbarskih razmer
barbarizacijo | BARBARIZACIJA - uvajanje barbarskih razmer
barbarizirajo | BARBARIZIRATI - uvajati barbarske razmere
barbarizirala | BARBARIZIRATI - uvajati barbarske razmere
barbarizirale | BARBARIZIRATI - uvajati barbarske razmere
barbarizirali | BARBARIZIRATI - uvajati barbarske razmere
barbariziralo | BARBARIZIRATI - uvajati barbarske razmere
barbariziramo | BARBARIZIRATI - uvajati barbarske razmere
barbarizirana | BARBARIZIRATI - uvajati barbarske razmere
barbarizirane | BARBARIZIRATI - uvajati barbarske razmere
barbarizirani | BARBARIZIRATI - uvajati barbarske razmere
barbarizirano | BARBARIZIRATI - uvajati barbarske razmere
barbarizirata | BARBARIZIRATI - uvajati barbarske razmere
barbarizirate | BARBARIZIRATI - uvajati barbarske razmere
barbarizirati | uvajati barbarske razmere
barbarizirava | BARBARIZIRATI - uvajati barbarske razmere
barbituratoma | BARBITURAT - uspavalno in pomirjevalno sredstvo
barhantastega | BARHANTAST - ki je iz barhanta
barhantastemu | BARHANTAST - ki je iz barhanta
barhantastima | BARHANTAST - ki je iz barhanta
barhantastimi | BARHANTAST - ki je iz barhanta
barikiranjema | BARIKIRANJE - glagolnik od barikirati
baritonistoma | BARITONIST - kdor poje bariton
barkevikitoma | BARKEVIKIT - [geol.] rjavkasta ali temnorjava monoklinska alkalna rogovača
barografskega | BAROGRAFSKI - pridevnik od barograf
barografskemu | BAROGRAFSKI - pridevnik od barograf
barografskima | BAROGRAFSKI - pridevnik od barograf
barografskimi | BAROGRAFSKI - pridevnik od barograf
barokizirajmo | BAROKIZIRATI - predelovati v baročnem slogu
barokizirajta | BAROKIZIRATI - predelovati v baročnem slogu
barokizirajte | BAROKIZIRATI - predelovati v baročnem slogu
barokizirajva | BAROKIZIRATI - predelovati v baročnem slogu
barometrskega | BAROMETRSKI - nanašajoč se na barometer
barometrskemu | BAROMETRSKI - nanašajoč se na barometer
barometrskima | BAROMETRSKI - nanašajoč se na barometer
barometrskimi | BAROMETRSKI - nanašajoč se na barometer
barvnokožcema | BARVNOKOŽEC - človek barvne kože
barvnopoltega | BARVNOPOLT - ki je barvne polti
barvnopoltemu | BARVNOPOLT - ki je barvne polti
barvnopoltima | BARVNOPOLT - ki je barvne polti
barvnopoltimi | BARVNOPOLT - ki je barvne polti
barvoslovjema | BARVOSLOVJE - nauk o barvah in tehniki barvanja
basbaritonist | kdor poje basbariton
basbaritonoma | BASBARITON - basovski glas z visoko lego
baseballistih | BEJZBOLIST - športnik, ki se ukvarja z bejzbolom
baseballistom | BEJZBOLIST - športnik, ki se ukvarja z bejzbolom
baseballistov | BEJZBOLIST - športnik, ki se ukvarja z bejzbolom
baseballskega | BEJZBOLSKI - nanašajoč se na bejzbol
baseballskemu | BEJZBOLSKI - nanašajoč se na bejzbol
baseballskima | BEJZBOLSKI - nanašajoč se na bejzbol
baseballskimi | BEJZBOLSKI - nanašajoč se na bejzbol
basketballoma | BASKETBALL
baskitaristih | BASKITARIST - kdor igra na baskitaro
baskitaristom | BASKITARIST - kdor igra na baskitaro
baskitaristov | BASKITARIST - kdor igra na baskitaro
basklarinetih | BASKLARINET - glasbilo, ki zveni oktavo nižje od klarineta
basklarinetom | BASKLARINET - glasbilo, ki zveni oktavo nižje od klarineta
basklarinetov | BASKLARINET - glasbilo, ki zveni oktavo nižje od klarineta
baskovščinama | BASKOVŠČINA - baskovski jezik
baskovščinami | BASKOVŠČINA - baskovski jezik
basnoslovcema | BASNOSLOVEC - kdor proučuje basni
basreliefnega | BASRELIEFEN - upodobljen v basreliefu
basreliefnemu | BASRELIEFEN - upodobljen v basreliefu
basreliefnima | BASRELIEFEN - upodobljen v basreliefu
basreliefnimi | BASRELIEFEN - upodobljen v basreliefu
bastardirajmo | BASTARDIRATI - medsebojno oploditi živali ali rastline, ki se razlikujejo vsaj v eni dedni lastnosti
bastardirajta | BASTARDIRATI - medsebojno oploditi živali ali rastline, ki se razlikujejo vsaj v eni dedni lastnosti
bastardirajte | BASTARDIRATI - medsebojno oploditi živali ali rastline, ki se razlikujejo vsaj v eni dedni lastnosti
bastardirajva | BASTARDIRATI - medsebojno oploditi živali ali rastline, ki se razlikujejo vsaj v eni dedni lastnosti
bastardiranem | BASTARDIRATI - medsebojno oploditi živali ali rastline, ki se razlikujejo vsaj v eni dedni lastnosti
bastardiranih | BASTARDIRATI - medsebojno oploditi živali ali rastline, ki se razlikujejo vsaj v eni dedni lastnosti
bastardiranim | BASTARDIRATI - medsebojno oploditi živali ali rastline, ki se razlikujejo vsaj v eni dedni lastnosti
bataljonskega | BATALJONSKI - nanašajoč se na bataljon
bataljonskemu | BATALJONSKI - nanašajoč se na bataljon
bataljonskima | BATALJONSKI - nanašajoč se na bataljon
bataljonskimi | BATALJONSKI - nanašajoč se na bataljon
batibentaloma | BATIBENTAL - [geog.] območje globokomorskega dna, kjer živi bentos
batilimnijema | BATILIMNIJ - [geog.] globinska vodna plast v jezerih
batimetrijama | BATIMETRIJA - [geog.] merjenje globine vode
batimetrijami | BATIMETRIJA - [geog.] merjenje globine vode
batimetrskega | BATIMETRSKI - nanašajoč se na batimeter
batimetrskemu | BATIMETRSKI - nanašajoč se na batimeter
batimetrskima | BATIMETRSKI - nanašajoč se na batimeter
batimetrskimi | BATIMETRSKI - nanašajoč se na batimeter
batipelagiala | BATIPELAGIAL - [geog.] oceansko območje v globini od 1000 m do 3000 m, kjer živijo prosto plavajoči organizmi
batipelagiale | BATIPELAGIAL - [geog.] oceansko območje v globini od 1000 m do 3000 m, kjer živijo prosto plavajoči organizmi
batipelagiali | BATIPELAGIAL - [geog.] oceansko območje v globini od 1000 m do 3000 m, kjer živijo prosto plavajoči organizmi
batipelagialu | BATIPELAGIAL - [geog.] oceansko območje v globini od 1000 m do 3000 m, kjer živijo prosto plavajoči organizmi
batitermograf | [geog.] naprava za merjenje temperature vode v globinah
bazidiokarpih | BAZIDIOKARP - [bot.] večcelični trosnjak pri prostotrosnicah (Basidiomycota), na katerem ali v katerem nastajajo bazidiji z bazidiosporami
bazidiokarpom | BAZIDIOKARP - [bot.] večcelični trosnjak pri prostotrosnicah (Basidiomycota), na katerem ali v katerem nastajajo bazidiji z bazidiosporami
bazidiokarpov | BAZIDIOKARP - [bot.] večcelični trosnjak pri prostotrosnicah (Basidiomycota), na katerem ali v katerem nastajajo bazidiji z bazidiosporami
bazidiolišaja | BAZIDIOLIŠAJI - [bot.] lišaji, katerih mikobionti so prostotrosnice (Basidiomycota)
bazidiolišaje | BAZIDIOLIŠAJI - [bot.] lišaji, katerih mikobionti so prostotrosnice (Basidiomycota)
bazidiolišaji | [bot.] lišaji, katerih mikobionti so prostotrosnice (Basidiomycota)
bazidiolišaju | BAZIDIOLIŠAJI - [bot.] lišaji, katerih mikobionti so prostotrosnice (Basidiomycota)
bazidiomiceta | BAZIDIOMICETE - [bot.] deblo gliv (Mycota), ki so kozmopolitske, zanje je značilen bazidij, ki navadno nosi štiri enocelične, haploidne bazidiospore, imajo zapončni micelij z dolipornimi septi, dvoplastno celično steno, navadno so micelijske, nekatere imajo kvasni stadij, micelij lahko tvori sklerocije, rizomorfe, mikorize, bazidiomi pa so pogosto makroskopski in različnih oblik
bazidiomicete | [bot.] deblo gliv (Mycota), ki so kozmopolitske, zanje je značilen bazidij, ki navadno nosi štiri enocelične, haploidne bazidiospore, imajo zapončni micelij z dolipornimi septi, dvoplastno celično steno, navadno so micelijske, nekatere imajo kvasni stadij, micelij lahko tvori sklerocije, rizomorfe, mikorize, bazidiomi pa so pogosto makroskopski in različnih oblik
bazidiomiceti | BAZIDIOMICETE - [bot.] deblo gliv (Mycota), ki so kozmopolitske, zanje je značilen bazidij, ki navadno nosi štiri enocelične, haploidne bazidiospore, imajo zapončni micelij z dolipornimi septi, dvoplastno celično steno, navadno so micelijske, nekatere imajo kvasni stadij, micelij lahko tvori sklerocije, rizomorfe, mikorize, bazidiomi pa so pogosto makroskopski in različnih oblik
bazidiomiceto | BAZIDIOMICETE - [bot.] deblo gliv (Mycota), ki so kozmopolitske, zanje je značilen bazidij, ki navadno nosi štiri enocelične, haploidne bazidiospore, imajo zapončni micelij z dolipornimi septi, dvoplastno celično steno, navadno so micelijske, nekatere imajo kvasni stadij, micelij lahko tvori sklerocije, rizomorfe, mikorize, bazidiomi pa so pogosto makroskopski in različnih oblik
bazidiosporah | BAZIDIOSPORA - [bot.] haploidna mejospora, ki po mejozi nastane na bazidiju prostotrosnic (Basidiomycota)
bazidiosporam | BAZIDIOSPORA - [bot.] haploidna mejospora, ki po mejozi nastane na bazidiju prostotrosnic (Basidiomycota)
bazilijancema | BAZILIJANEC - menih reda sv. Bazilija
bazilijanskem | BAZILIJANSKI - nanašajoč se na bazilijance
bazilijanskih | BAZILIJANSKI - nanašajoč se na bazilijance
bazilijanskim | BAZILIJANSKI - nanašajoč se na bazilijance
bazilikalnega | BAZILIKALEN - ki je v slogu bazilike
bazilikalnemu | BAZILIKALEN - ki je v slogu bazilike
bazilikalnima | BAZILIKALEN - ki je v slogu bazilike
bazilikalnimi | BAZILIKALEN - ki je v slogu bazilike
baziliskovega | BAZILISKOV - pridevnik od bazilisk
baziliskovemu | BAZILISKOV - pridevnik od bazilisk
baziliskovima | BAZILISKOV - pridevnik od bazilisk
baziliskovimi | BAZILISKOV - pridevnik od bazilisk
beatboxingoma | BEATBOXING - [tolk.] vokalna perkusija, pri kateri glasbenik oponaša zvoke kompleta bobnov v kombinaciji z drugimi glasbili, elektronskimi efekti, govorjenjem, petjem, navadno povezana s hiphop kulturo
beatifikacija | proglasitev za blaženega
beatifikacije | BEATIFIKACIJA - proglasitev za blaženega
beatifikaciji | BEATIFIKACIJA - proglasitev za blaženega
beatifikacijo | BEATIFIKACIJA - proglasitev za blaženega
beatlomanijah | BEATLOMANIJA - pretirano navdušenje za britansko glasbeno skupino The Beatles
beatlomanijam | BEATLOMANIJA - pretirano navdušenje za britansko glasbeno skupino The Beatles
beaujolaisoma | BEAUJOLAIS - rdeče vino iz francoske pokrajine Beaujolais
beerbachitoma | BEERBACHIT - [geol.] drobnozrnata dioritska žilnina, ki vsebuje piroksene in magnetit
begosumnostih | BEGOSUMNOST - sum na namero po begu
begosumnostim | BEGOSUMNOST - sum na namero po begu
begosumnostjo | BEGOSUMNOST - sum na namero po begu
begosumnostma | BEGOSUMNOST - sum na namero po begu
begosumnostmi | BEGOSUMNOST - sum na namero po begu
behavioristih | BEHAVIORIST - pristaš behaviorizma
behavioristom | BEHAVIORIST - pristaš behaviorizma
behavioristov | BEHAVIORIST - pristaš behaviorizma
behaviorizmih | BEHAVIORIZEM - ameriška psihološka smer, ki proučuje človeka iz njegovega obnašanja in ravnanja
behaviorizmom | BEHAVIORIZEM - ameriška psihološka smer, ki proučuje človeka iz njegovega obnašanja in ravnanja
behaviorizmov | BEHAVIORIZEM - ameriška psihološka smer, ki proučuje človeka iz njegovega obnašanja in ravnanja
bejzbolistoma | BEJZBOLIST - športnik, ki se ukvarja z bejzbolom
belemnitidoma | BELEMNITIDI - [geol.] glavonožci z notranjim skeletom, ki so živeli v juri
beletrističen | pridevnik od beletristika, leposloven
beletristična | BELETRISTIČEN - pridevnik od beletristika, leposloven
beletristične | BELETRISTIČEN - pridevnik od beletristika, leposloven
beletristični | BELETRISTIČEN - pridevnik od beletristika, leposloven
beletristično | BELETRISTIČEN - pridevnik od beletristika, leposloven
beletristikah | BELETRISTIKA - umetniška literatura, leposlovje
beletristikam | BELETRISTIKA - umetniška literatura, leposlovje
beljakovinama | BELJAKOVINA - organska spojina, ki jo sestavljajo velike komplicirane molekule, zgrajene iz aminokislin
beljakovinami | BELJAKOVINA - organska spojina, ki jo sestavljajo velike komplicirane molekule, zgrajene iz aminokislin
beljakovinast | podoben beljakovini
beljakovinska | BELJAKOVINSKI - nanašajoč se na beljakovino
beljakovinske | BELJAKOVINSKI - nanašajoč se na beljakovino
beljakovinski | nanašajoč se na beljakovino
beljakovinsko | BELJAKOVINSKI - nanašajoč se na beljakovino
bellefleurjem | BELFLER - veliko rumeno jesensko jabolko
bellefleurjev | BELFLER - veliko rumeno jesensko jabolko
bellefleurjih | BELFLER - veliko rumeno jesensko jabolko
belogardistih | BELOGARDIST - pripadnik bele garde v Sloveniji
belogardistom | BELOGARDIST - pripadnik bele garde v Sloveniji
belogardistov | BELOGARDIST - pripadnik bele garde v Sloveniji
belogardizmih | BELOGARDIZEM - protirevolucionarno gibanje med narodnoosvobodilnim bojem v Sloveniji
belogardizmom | BELOGARDIZEM - protirevolucionarno gibanje med narodnoosvobodilnim bojem v Sloveniji
belogardizmov | BELOGARDIZEM - protirevolucionarno gibanje med narodnoosvobodilnim bojem v Sloveniji
belohlačnikih | BELOHLAČNIK - kdor nosi bele hlače
belohlačnikom | BELOHLAČNIK - kdor nosi bele hlače
belohlačnikov | BELOHLAČNIK - kdor nosi bele hlače
belokožnikoma | BELOKOŽNIK
belokranjskem | BELOKRANJSKI - nanašajoč se na Belokranjce ali Belo krajino
belokranjskih | BELOKRANJSKI - nanašajoč se na Belokranjce ali Belo krajino
belokranjskim | BELOKRANJSKI - nanašajoč se na Belokranjce ali Belo krajino
belokrvnostih | BELOKRVNOST
belokrvnostim | BELOKRVNOST
belokrvnostjo | BELOKRVNOST
belokrvnostma | BELOKRVNOST
belokrvnostmi | BELOKRVNOST
beloprstenega | BELOPRSTEN - nanašajoč se na belo glino
beloprstenemu | BELOPRSTEN - nanašajoč se na belo glino
beloprstenima | BELOPRSTEN - nanašajoč se na belo glino
beloprstenimi | BELOPRSTEN - nanašajoč se na belo glino
beloruščinama | BELORUŠČINA - jezik Belorusov
beloruščinami | BELORUŠČINA - jezik Belorusov
benchmarkinga | BENCHMARKING - primerjalno ocenjevanje, navadno znotraj kake dejavnosti, panoge
benchmarkinge | BENCHMARKING - primerjalno ocenjevanje, navadno znotraj kake dejavnosti, panoge
benchmarkingi | BENCHMARKING - primerjalno ocenjevanje, navadno znotraj kake dejavnosti, panoge
benchmarkingu | BENCHMARKING - primerjalno ocenjevanje, navadno znotraj kake dejavnosti, panoge
bencinometrih | BENCINOMETER - priprava, ki kaže količino bencina v rezervoarju ali toka bencina v ceveh
bencinometrom | BENCINOMETER - priprava, ki kaže količino bencina v rezervoarju ali toka bencina v ceveh
bencinometrov | BENCINOMETER - priprava, ki kaže količino bencina v rezervoarju ali toka bencina v ceveh
bencinovodoma | BENCINOVOD - vod za dovajanje bencina
benediktincem | BENEDIKTINEC - menih reda sv. Benedikta
benediktincev | BENEDIKTINEC - menih reda sv. Benedikta
benediktincih | BENEDIKTINEC - menih reda sv. Benedikta
benediktinkah | BENEDIKTINKA - redovnica reda sv. Benedikta
benediktinkam | BENEDIKTINKA - redovnica reda sv. Benedikta
benediktinska | BENEDIKTINSKI - nanašajoč se na benediktince
benediktinske | BENEDIKTINSKI - nanašajoč se na benediktince
benediktinski | nanašajoč se na benediktince
benediktinsko | BENEDIKTINSKI - nanašajoč se na benediktince
beneficiarjem | BENEFICIAR - [prav.] tretja oseba, ki ne sodeluje pri sklenitvi pogodbe v korist tretjega, upravičena pa je zahtevati njeno izpolnitev
beneficiarjev | BENEFICIAR - [prav.] tretja oseba, ki ne sodeluje pri sklenitvi pogodbe v korist tretjega, upravičena pa je zahtevati njeno izpolnitev
beneficiarjih | BENEFICIAR - [prav.] tretja oseba, ki ne sodeluje pri sklenitvi pogodbe v korist tretjega, upravičena pa je zahtevati njeno izpolnitev
beneficiatnem | BENEFICIATEN - nanašajoč se na beneficiat
beneficiatnih | BENEFICIATEN - nanašajoč se na beneficiat
beneficiatnim | BENEFICIATEN - nanašajoč se na beneficiat
beneficiatoma | BENEFICIAT - uživalec beneficija
beneficirajmo | BENEFICIRATI - šteti, upoštevati več, kot dejansko je
beneficirajta | BENEFICIRATI - šteti, upoštevati več, kot dejansko je
beneficirajte | BENEFICIRATI - šteti, upoštevati več, kot dejansko je
beneficirajva | BENEFICIRATI - šteti, upoštevati več, kot dejansko je
beneficiranem | BENEFICIRATI - šteti, upoštevati več, kot dejansko je
beneficiranih | BENEFICIRATI - šteti, upoštevati več, kot dejansko je
beneficiranim | BENEFICIRATI - šteti, upoštevati več, kot dejansko je
benevolencama | BENEVOLENCA
benevolencami | BENEVOLENCA
benevolentnem | BENEVOLENTEN
benevolentnih | BENEVOLENTEN
benevolentnim | BENEVOLENTEN
benjaminčkoma | BENJAMINČEK - manjšalnica od benjamin
benzaldehidih | BENZALDEHID - po grenkih mandeljnih dišeča tekočina za izdelovanje dišav
benzaldehidom | BENZALDEHID - po grenkih mandeljnih dišeča tekočina za izdelovanje dišav
benzaldehidov | BENZALDEHID - po grenkih mandeljnih dišeča tekočina za izdelovanje dišav
benziladenina | BENZILADENIN - [bot.] sintetični citokinin, pogosto uporabljan v tkivnih kulturah
benziladenine | BENZILADENIN - [bot.] sintetični citokinin, pogosto uporabljan v tkivnih kulturah
benziladenini | BENZILADENIN - [bot.] sintetični citokinin, pogosto uporabljan v tkivnih kulturah
benziladeninu | BENZILADENIN - [bot.] sintetični citokinin, pogosto uporabljan v tkivnih kulturah
bergsonizmoma | BERGSONIZEM - filozofska smer francoskega idealističnega filozofa Bergsona
berljivostima | BERLJIVOST - lastnost berljivega
bernardincema | BERNARDINEC - menih reda, imenovanega po sv. Bernardu
bernardinskem | BERNARDINSKI - nanašajoč se na bernardince
bernardinskih | BERNARDINSKI - nanašajoč se na bernardince
bernardinskim | BERNARDINSKI - nanašajoč se na bernardince
bernjavsljama | BERNJAVSLJA
bernjavsljami | BERNJAVSLJA
bernsteinovca | BERNSTEINOVEC - privrženec nemškega politika in filozofa Bernsteina
bernsteinovce | BERNSTEINOVEC - privrženec nemškega politika in filozofa Bernsteina
bernsteinovci | BERNSTEINOVEC - privrženec nemškega politika in filozofa Bernsteina
bernsteinovcu | BERNSTEINOVEC - privrženec nemškega politika in filozofa Bernsteina
bernsteinovec | privrženec nemškega politika in filozofa Bernsteina
bersaljerjema | BERSALJER - vojak posebne pehotne enote, s perjem na klobuku
bersaljerskem | BERSALJERSKI - nanašajoč se na bersaljere
bersaljerskih | BERSALJERSKI - nanašajoč se na bersaljere
bersaljerskim | BERSALJERSKI - nanašajoč se na bersaljere
besedičenjema | BESEDIČENJE - glagolnik od besedičiti
besedičnostih | BESEDIČNOST
besedičnostim | BESEDIČNOST
besedičnostjo | BESEDIČNOST
besedičnostma | BESEDIČNOST
besedičnostmi | BESEDIČNOST
besedilopisca | BESEDILOPISEC - kdor piše besedila za različne glasbene izvajalce
besedilopisce | BESEDILOPISEC - kdor piše besedila za različne glasbene izvajalce
besedilopisci | BESEDILOPISEC - kdor piše besedila za različne glasbene izvajalce
besedilopiscu | BESEDILOPISEC - kdor piše besedila za različne glasbene izvajalce
besedilopisec | kdor piše besedila za različne glasbene izvajalce
besedilopiska | ženska, ki piše besedila za različne glasbene izvajalce
besedilopiske | BESEDILOPISKA - ženska, ki piše besedila za različne glasbene izvajalce
besedilopiski | BESEDILOPISKA - ženska, ki piše besedila za različne glasbene izvajalce
besedilopisko | BESEDILOPISKA - ženska, ki piše besedila za različne glasbene izvajalce
besedljivkama | BESEDLJIVKA - gostobesedna, zgovorna ženska
besedljivkami | BESEDLJIVKA - gostobesedna, zgovorna ženska
besednjakarja | BESEDNJAKAR
besednjakarje | BESEDNJAKAR
besednjakarji | BESEDNJAKAR
besednjakarju | BESEDNJAKAR
besednovrsten | nanašajoč se na besedno vrsto
besednovrstna | BESEDNOVRSTEN - nanašajoč se na besedno vrsto
besednovrstne | BESEDNOVRSTEN - nanašajoč se na besedno vrsto
besednovrstni | BESEDNOVRSTEN - nanašajoč se na besedno vrsto
besednovrstno | BESEDNOVRSTEN - nanašajoč se na besedno vrsto
besedolomnega | BESEDOLOMEN - ki ne izpolni dane besede, obljube
besedolomnemu | BESEDOLOMEN - ki ne izpolni dane besede, obljube
besedolomnima | BESEDOLOMEN - ki ne izpolni dane besede, obljube
besedolomnimi | BESEDOLOMEN - ki ne izpolni dane besede, obljube
besedolomstev | BESEDOLOMSTVO - neizpolnitev dane besede, obljube
besedolomstva | BESEDOLOMSTVO - neizpolnitev dane besede, obljube
besedolomstvi | BESEDOLOMSTVO - neizpolnitev dane besede, obljube
besedolomstvo | neizpolnitev dane besede, obljube
besedolomstvu | BESEDOLOMSTVO - neizpolnitev dane besede, obljube
besedoslovjem | BESEDOSLOVJE
besedoslovjih | BESEDOSLOVJE
besedotvorjem | BESEDOTVORJE - tvorjenje in sestava besed
besedotvorjih | BESEDOTVORJE - tvorjenje in sestava besed
besedotvornem | BESEDOTVOREN - nanašajoč se na besedotvorje
besedotvornih | BESEDOTVOREN - nanašajoč se na besedotvorje
besedotvornim | BESEDOTVOREN - nanašajoč se na besedotvorje
besedovalcema | BESEDOVALEC
besedovanjema | BESEDOVANJE - glagolnik od besedovati
besežiranjema | BESEŽIRANJE - glagolnik od besežirati
bestialnostih | BESTIALNOST - živalska okrutnost, zverinstvo
bestialnostim | BESTIALNOST - živalska okrutnost, zverinstvo
bestialnostjo | BESTIALNOST - živalska okrutnost, zverinstvo
bestialnostma | BESTIALNOST - živalska okrutnost, zverinstvo
bestialnostmi | BESTIALNOST - živalska okrutnost, zverinstvo
bestsellerjem | BESTSELLER - prodajna uspešnica, zlasti knjiga
bestsellerjev | BESTSELLER - prodajna uspešnica, zlasti knjiga
bestsellerjih | BESTSELLER - prodajna uspešnica, zlasti knjiga
betacianinoma | BETACIANIN - [farm.] rdeče ali vijolično barvilo iz skupine betalainov, npr. betanin
betakarotenih | BETAKAROTEN - naravno barvilo v zelenjavi in sadju kot predstopnja vitamina A
betakarotenom | BETAKAROTEN - naravno barvilo v zelenjavi in sadju kot predstopnja vitamina A
betakarotenov | BETAKAROTEN - naravno barvilo v zelenjavi in sadju kot predstopnja vitamina A
betaksantinih | BETAKSANTIN - [farm.] rumeno ali oranžno barvilo iz skupine betalainov, npr. miraksantin, vulgaksantin
betaksantinom | BETAKSANTIN - [farm.] rumeno ali oranžno barvilo iz skupine betalainov, npr. miraksantin, vulgaksantin
betaksantinov | BETAKSANTIN - [farm.] rumeno ali oranžno barvilo iz skupine betalainov, npr. miraksantin, vulgaksantin
