aberacijski | nanašajoč se na aberacijo
aberacijsko | ABERACIJSKI - nanašajoč se na aberacijo
aberdeenska | ABERDEENSKI - [pravopis]
aberdeenske | ABERDEENSKI - [pravopis]
aberdeenski | [pravopis]
aberdeensko | ABERDEENSKI - [pravopis]
abesinskega | ABESINSKI
abesinskemu | ABESINSKI
abesinskima | ABESINSKI
abesinskimi | ABESINSKI
abhazijskem | ABHAZIJSKI - [epravopis] 
abhazijskih | ABHAZIJSKI - [epravopis] 
abhazijskim | ABHAZIJSKI - [epravopis] 
abidžanskem | ABIDŽANSKI - [pravopis]
abidžanskih | ABIDŽANSKI - [pravopis]
abidžanskim | ABIDŽANSKI - [pravopis]
abietinskem | ABIETINSKI - > DITERPENOID - [farm.] oksidacijski produkt diterpena, npr. abietinska kislina, sklareol, steviol, taksol
abietinskih | ABIETINSKI - > DITERPENOID - [farm.] oksidacijski produkt diterpena, npr. abietinska kislina, sklareol, steviol, taksol
abietinskim | ABIETINSKI - > DITERPENOID - [farm.] oksidacijski produkt diterpena, npr. abietinska kislina, sklareol, steviol, taksol
abiogenezah | ABIOGENEZA - nastanek in razvoj živega iz neživega
abiogenezam | ABIOGENEZA - nastanek in razvoj živega iz neživega
abiosferama | ABIOSFERA - [geog.] neživa narava, ki obsega litosfero, hidrosfero, atmosfero in pedosfero in omogoča življenje
abiosferami | ABIOSFERA - [geog.] neživa narava, ki obsega litosfero, hidrosfero, atmosfero in pedosfero in omogoča življenje
abiotičnega | ABIOTIČEN - nanašajoč se na neživo naravo
abiotičnemu | ABIOTIČEN - nanašajoč se na neživo naravo
abiotičnima | ABIOTIČEN - nanašajoč se na neživo naravo
abiotičnimi | ABIOTIČEN - nanašajoč se na neživo naravo
abisalnosti | ABISALNOST - [pravopis]
abiturienta | ABITURIENT - absolvent srednje šole pred zaključnim izpitom ali po njem
abituriente | ABITURIENT - absolvent srednje šole pred zaključnim izpitom ali po njem
abiturienti | ABITURIENT - absolvent srednje šole pred zaključnim izpitom ali po njem
abiturientk | ABITURIENTKA - absolventka srednje šole pred zaključnim izpitom ali po njem
abiturientu | ABITURIENT - absolvent srednje šole pred zaključnim izpitom ali po njem
ablacijskem | ABLACIJSKI - [geol.] v zvezi »ablacijska razpoka«: razpoka med ledenikom in skalnim obrobjem na območju ledeniškega jezika, ki nastane zaradi toplotne refleksije skalnega obrobja
ablacijskih | ABLACIJSKI - [geol.] v zvezi »ablacijska razpoka«: razpoka med ledenikom in skalnim obrobjem na območju ledeniškega jezika, ki nastane zaradi toplotne refleksije skalnega obrobja
ablacijskim | ABLACIJSKI - [geol.] v zvezi »ablacijska razpoka«: razpoka med ledenikom in skalnim obrobjem na območju ledeniškega jezika, ki nastane zaradi toplotne refleksije skalnega obrobja
ablaktacija | vstavljanje cepiča žlahtne rastline v divjak tako, da še nekaj časa dobiva hrano od matične rastline
ablaktacije | ABLAKTACIJA - vstavljanje cepiča žlahtne rastline v divjak tako, da še nekaj časa dobiva hrano od matične rastline
ablaktaciji | ABLAKTACIJA - vstavljanje cepiča žlahtne rastline v divjak tako, da še nekaj časa dobiva hrano od matične rastline
ablaktacijo | ABLAKTACIJA - vstavljanje cepiča žlahtne rastline v divjak tako, da še nekaj časa dobiva hrano od matične rastline
ablativnega | ABLATIVEN - pridevnik od ablativ
ablativnemu | ABLATIVEN - pridevnik od ablativ
ablativnima | ABLATIVEN - pridevnik od ablativ
ablativnimi | ABLATIVEN - pridevnik od ablativ
abnormalnem | ABNORMALEN - ki se razlikuje od navadnega, pravilnega
abnormalnih | ABNORMALEN - ki se razlikuje od navadnega, pravilnega
abnormalnim | ABNORMALEN - ki se razlikuje od navadnega, pravilnega
abnormiteta |
abnormitete | ABNORMITETA
abnormiteti | ABNORMITETA
abnormiteto | ABNORMITETA
abnormnosti | ABNORMNOST
abolicijama | ABOLICIJA - razveljavitev kakega zakona, odprava česa
abolicijami | ABOLICIJA - razveljavitev kakega zakona, odprava česa
abolicijska | ABOLICIJSKI - pridevnik od abolicija
abolicijske | ABOLICIJSKI - pridevnik od abolicija
abolicijski | pridevnik od abolicija
abolicijsko | ABOLICIJSKI - pridevnik od abolicija
abonentkama | ABONENTKA - ženska, ki se vnaprej naroči na kaj
abonentkami | ABONENTKA - ženska, ki se vnaprej naroči na kaj
abonentskem | ABONENTSKI - nanašajoč se na abonente
abonentskih | ABONENTSKI - nanašajoč se na abonente
abonentskim | ABONENTSKI - nanašajoč se na abonente
abonirancem | ABONIRANEC - kdor se vnaprej naroči na kaj
abonirancev | ABONIRANEC - kdor se vnaprej naroči na kaj
abonirancih | ABONIRANEC - kdor se vnaprej naroči na kaj
aboniranega | ABONIRATI - vnaprej plačati, naročiti se na kaj
aboniranemu | ABONIRATI - vnaprej plačati, naročiti se na kaj
aboniranima | ABONIRATI - vnaprej plačati, naročiti se na kaj
aboniranimi | ABONIRATI - vnaprej plačati, naročiti se na kaj
aboniranost | [pravopis]
abonmajskem | ABONMAJSKI - nanašajoč se na abonma
