ablativni | ABLATIVEN - pridevnik od ablativ
ablativno | ABLATIVEN - pridevnik od ablativ
ablativom | ABLATIV - latinski sklon, ki izraža izhodišče ali odmikanje
ablativov | ABLATIV - latinski sklon, ki izraža izhodišče ali odmikanje
abnormnem | ABNORMEN - ki zelo presega običajno mero
abnormnih | ABNORMEN - ki zelo presega običajno mero
abnormnim | ABNORMEN - ki zelo presega običajno mero
abolicija | razveljavitev kakega zakona, odprava česa
abolicije | ABOLICIJA - razveljavitev kakega zakona, odprava česa
aboliciji | ABOLICIJA - razveljavitev kakega zakona, odprava česa
abolicijo | ABOLICIJA - razveljavitev kakega zakona, odprava česa
abolirajo | ABOLIRATI - razveljaviti, odpraviti kaj, navadno zakon
abolirala | ABOLIRATI - razveljaviti, odpraviti kaj, navadno zakon
abolirale | ABOLIRATI - razveljaviti, odpraviti kaj, navadno zakon
abolirali | ABOLIRATI - razveljaviti, odpraviti kaj, navadno zakon
aboliralo | ABOLIRATI - razveljaviti, odpraviti kaj, navadno zakon
aboliramo | ABOLIRATI - razveljaviti, odpraviti kaj, navadno zakon
abolirata | ABOLIRATI - razveljaviti, odpraviti kaj, navadno zakon
abolirate | ABOLIRATI - razveljaviti, odpraviti kaj, navadno zakon
abolirati | razveljaviti, odpraviti kaj, navadno zakon
abolirava | ABOLIRATI - razveljaviti, odpraviti kaj, navadno zakon
abonentih | ABONENT - kdor se vnaprej naroči na kaj
abonentka | ženska, ki se vnaprej naroči na kaj
abonentke | ABONENTKA - ženska, ki se vnaprej naroči na kaj
abonentki | ABONENTKA - ženska, ki se vnaprej naroči na kaj
abonentko | ABONENTKA - ženska, ki se vnaprej naroči na kaj
abonentom | ABONENT - kdor se vnaprej naroči na kaj
abonentov | ABONENT - kdor se vnaprej naroči na kaj
abonirajo | ABONIRATI SE - vnaprej plačati, naročiti se na kaj
abonirala | ABONIRATI SE - vnaprej plačati, naročiti se na kaj
abonirale | ABONIRATI SE - vnaprej plačati, naročiti se na kaj
abonirali | ABONIRATI SE - vnaprej plačati, naročiti se na kaj
aboniralo | ABONIRATI SE - vnaprej plačati, naročiti se na kaj
aboniramo | ABONIRATI SE - vnaprej plačati, naročiti se na kaj
abonirana | ABONIRATI - vnaprej plačati, naročiti se na kaj
abonirane | ABONIRATI - vnaprej plačati, naročiti se na kaj
abonirani | ABONIRATI - vnaprej plačati, naročiti se na kaj
abonirano | ABONIRATI - vnaprej plačati, naročiti se na kaj
abonirata | ABONIRATI SE - vnaprej plačati, naročiti se na kaj
abonirate | ABONIRATI SE - vnaprej plačati, naročiti se na kaj
abonirati | ABONIRATI SE - vnaprej plačati, naročiti se na kaj
abonirava | ABONIRATI SE - vnaprej plačati, naročiti se na kaj
abonmajem | ABONMA - vnaprej plačano naročilo na kaj
abonmajev | ABONMA - vnaprej plačano naročilo na kaj
abonmajih | ABONMA - vnaprej plačano naročilo na kaj
aboospora | [bot.] spora, ki nastane iz neoplojene ženske gamete pri oomicetah /Ooomycetes/
aboospore | ABOOSPORA - [bot.] spora, ki nastane iz neoplojene ženske gamete pri oomicetah /Ooomycetes/
aboospori | ABOOSPORA - [bot.] spora, ki nastane iz neoplojene ženske gamete pri oomicetah /Ooomycetes/
aboosporo | ABOOSPORA - [bot.] spora, ki nastane iz neoplojene ženske gamete pri oomicetah /Ooomycetes/
